Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[replicate]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[growth condition]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[sampling time point]	Unit[time unit]	Term Source REF	Term Accession Number
Sample 14	ERS1417353	SAMEA4518174	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 14	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 14	sequencing assay	ERX1767707	WM_S2_2_3LD.bam	WM_S2_2_3LD.bam	ERR1698199	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/009/ERR1698199/ERR1698199_1.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 14	ERS1417353	SAMEA4518174	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 14	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 14	sequencing assay	ERX1767707	WM_S2_2_3LD.bam	WM_S2_2_3LD.bam	ERR1698199	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/009/ERR1698199/ERR1698199_2.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 15	ERS1417354	SAMEA4518175	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 15	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 15	sequencing assay	ERX1767708	WM_S2_3_3LD.bam	WM_S2_3_3LD.bam	ERR1698200	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/000/ERR1698200/ERR1698200_1.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 15	ERS1417354	SAMEA4518175	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 15	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 15	sequencing assay	ERX1767708	WM_S2_3_3LD.bam	WM_S2_3_3LD.bam	ERR1698200	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/000/ERR1698200/ERR1698200_2.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 16	ERS1417355	SAMEA4518176	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 16	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 16	sequencing assay	ERX1767709	WM_S2_4_3LD.bam	WM_S2_4_3LD.bam	ERR1698201	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/001/ERR1698201/ERR1698201_1.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 16	ERS1417355	SAMEA4518176	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 16	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 16	sequencing assay	ERX1767709	WM_S2_4_3LD.bam	WM_S2_4_3LD.bam	ERR1698201	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/001/ERR1698201/ERR1698201_2.fastq.gz	40	21	3	day	EFO	UO_0000033
Sample 2	ERS1417356	SAMEA4518177	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 2	sequencing assay	ERX1767710	WM_S2_2_0LD.bam	WM_S2_2_0LD.bam	ERR1698202	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/002/ERR1698202/ERR1698202_1.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 2	ERS1417356	SAMEA4518177	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 2	sequencing assay	ERX1767710	WM_S2_2_0LD.bam	WM_S2_2_0LD.bam	ERR1698202	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/002/ERR1698202/ERR1698202_2.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 3	ERS1417357	SAMEA4518178	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 3	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 3	sequencing assay	ERX1767711	WM_S2_3_0LD.bam	WM_S2_3_0LD.bam	ERR1698203	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/003/ERR1698203/ERR1698203_1.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 3	ERS1417357	SAMEA4518178	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 3	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 3	sequencing assay	ERX1767711	WM_S2_3_0LD.bam	WM_S2_3_0LD.bam	ERR1698203	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/003/ERR1698203/ERR1698203_2.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 4	ERS1417358	SAMEA4518179	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 4	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 4	sequencing assay	ERX1767712	WM_S2_4_0LD.bam	WM_S2_4_0LD.bam	ERR1698204	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/004/ERR1698204/ERR1698204_1.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 4	ERS1417358	SAMEA4518179	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 4	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 4	sequencing assay	ERX1767712	WM_S2_4_0LD.bam	WM_S2_4_0LD.bam	ERR1698204	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/004/ERR1698204/ERR1698204_2.fastq.gz	40	21	0	day	EFO	UO_0000033
Sample 5	ERS1417359	SAMEA4518180	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 5	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 5	sequencing assay	ERX1767713	WM_S2_1_1LD.bam	WM_S2_1_1LD.bam	ERR1698205	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/005/ERR1698205/ERR1698205_1.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 5	ERS1417359	SAMEA4518180	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 5	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 5	sequencing assay	ERX1767713	WM_S2_1_1LD.bam	WM_S2_1_1LD.bam	ERR1698205	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/005/ERR1698205/ERR1698205_2.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 6	ERS1417360	SAMEA4518181	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 6	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 6	sequencing assay	ERX1767714	WM_S2_2_1LD.bam	WM_S2_2_1LD.bam	ERR1698206	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/006/ERR1698206/ERR1698206_1.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 6	ERS1417360	SAMEA4518181	Arabidopsis thaliana	2	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 6	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 6	sequencing assay	ERX1767714	WM_S2_2_1LD.bam	WM_S2_2_1LD.bam	ERR1698206	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/006/ERR1698206/ERR1698206_2.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 7	ERS1417361	SAMEA4518182	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 7	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 7	sequencing assay	ERX1767715	WM_S2_3_1LD.bam	WM_S2_3_1LD.bam	ERR1698207	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/007/ERR1698207/ERR1698207_1.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 7	ERS1417361	SAMEA4518182	Arabidopsis thaliana	3	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 7	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 7	sequencing assay	ERX1767715	WM_S2_3_1LD.bam	WM_S2_3_1LD.bam	ERR1698207	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/007/ERR1698207/ERR1698207_2.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 8	ERS1417362	SAMEA4518183	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 8	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 8	sequencing assay	ERX1767716	WM_S2_4_1LD.bam	WM_S2_4_1LD.bam	ERR1698208	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/008/ERR1698208/ERR1698208_1.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 8	ERS1417362	SAMEA4518183	Arabidopsis thaliana	4	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 8	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 8	sequencing assay	ERX1767716	WM_S2_4_1LD.bam	WM_S2_4_1LD.bam	ERR1698208	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/008/ERR1698208/ERR1698208_2.fastq.gz	40	21	1	day	EFO	UO_0000033
Sample 9	ERS1417363	SAMEA4518184	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 9	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 9	sequencing assay	ERX1767717	WM_S2_1_2LD.bam	WM_S2_1_2LD.bam	ERR1698209	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/009/ERR1698209/ERR1698209_1.fastq.gz	40	21	2	day	EFO	UO_0000033
Sample 9	ERS1417363	SAMEA4518184	Arabidopsis thaliana	1	Col-0	Meristem INTACT reporter line containing three transgenes:  pAt3g59270::RedNTF::tAt3g59270, pCLV3p::RedNTF::tCLV3, pUBQ10::BirA	floral transition	long day	apical shoot meristem	organism part	P-MTAB-52365	P-MTAB-52007	P-MTAB-52008	P-MTAB-52009	Sample 9	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	5'-3'-3'-5'	P-MTAB-52010	Max Planck Institute for Developmental Biology	Sample 9	sequencing assay	ERX1767717	WM_S2_1_2LD.bam	WM_S2_1_2LD.bam	ERR1698209	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/009/ERR1698209/ERR1698209_2.fastq.gz	40	21	2	day	EFO	UO_0000033
